,Address
1307,"Shop no 8,Bayside Arcade premises,co operative society Ltd. No.63/74 of parel-Sewree Division,Parel,Mumbai-400012"
1308,"Shop No 26,Ground floor,Nathani Heights,Dr D.b Marg & Bellasis road,Mumbai Central,Mumbai 400008"
1309,"SHOP NO -8 , TARAPURVALA  BUILDING,102, AUGUST KRANTI  MARG, MUMBAI - 400036"
1310,"Monginis, 53, Clare Road, Saifee Court, Byculla, Mumbai"
1311,"Jango's Pizza, Tukaram Javaji Marg, Grant Road West, Grant Road (W), Tardeo, Mumbai, Maharashtra, India"
1312,"Shop#16/17, Al-Hafiz Manzil, Ready Money Compound, Clare Road,Byculla, Mumbai 400 008"
1313,"Mala Building, Jacob Circle, Saat Rasta, Mahalaxmi, Mumbai"
1314,"Juno's Pizza A-11, Mahavir Apt, Tadeo near bhatia hospital opp Swati snacks Mumbai 400007"
1315,"21 22 byculla house, clare road, byculla west. Mumbai"
1316,"1 Plot no 1, Al Hafiz Manzil, Opp. Bata Showroom Near Fire Brigade Services, &, Mirza Galib Rd, opposite Y Bridge, Byculla, Mumbai, Maharashtra 400008"
1317,"Next to Dongri Police Station, Dr. Maheshwari Road, Mazgaon, Mumbai"
1318,"M.S. Ali Road, 2 Tank, J.J, Byculla, Mumbai"
1319,"B-3, Laxmi Building CHS, ground floor, Clare Road, Nagpada, Mirza Ghalib Marg, Mumbai 400008."
1320,"121/129, Kanchwala Bldg., Ground Floor, Next to Star of UP Restaurant, Maulana Shaukat Ali Road, Locality & Area: Do Taaki,"
1321,"Think Juice, 117, Opposite Ahmed Sailor School, Dimtimkar Road, Nagpada, Byculla, Mumbai"
1322,"Tata Starbucks Pvt. Ltd.,KWALITY HOUSE BLDG, 1ST FLOOR,PLOT NO 02, Kemps Corners ,N S PATKAR MARG, MUMBAI, 400036, Grant Road West."
1323,"295 HOTEL UDUPI SHOP NO15,JER BAUGOPP BYCULLAFRUIT MARKET DR B.A ROADBYCULLA PARTY MAYA TEMPTATIONS LLP"
1324,"Shop 173, C Block, Dr. Mascarenhas Road, Next To Old Mazgaon Post Office, Mazgaon, Mumbai"
1325,"Shop no1, Byculla hous, sir JJ road, near Byculla fire brigade, next to grills n wok,mumbai 400008"
1326,"Shop No:9 D Ready money Bldge, Opp E ward Muncipal Office Sankli Street Mumbai, Greater Mumbai, Maharashtra-400008"
1327,"Prince Shawarma, Shop No. 3, Huzaria Street, Opposite Nilgiri Restaurant, Grant Road, Mumbai"
1328,"SHOP NO 1 TO 5, MARIAM MANZIL, 184 - 196, DIMTIMKAR ROAD, NAGPADA, MUMBAI - 400008"
1329,"Building No. 280 IR Road Opp. Bata Showroom Pydhonie, Marine Lines East, Bhendi Bazaar, Bhuleshwar, Mumbai, Maharashtra 400003"
1330,"SHOP NO 03, HANUMAN PRASAD BUILDING PLOT NO 821/823, BAPURAO JAGTAP MARG, JACOB CIRCLE, BYCULLA-400011"
1331,"7.FLOOR-GRD, PLOT-17/19, LA VISION, SHEPHERD ROAD, OFF MIRZA GHALIB MARG NAGPADA, MUMBAI CENTRAL, MUMBAI-400008"
1332,"Shop 177, C block, Helal Building, Next To Old Mazgaon Post Office Mazgaon"
1333,"MARIYAM APARTMENT, 1ST FLOOR, NO. 108,ISMAIL CURTEY ROAD, NEAR ZAM ZAM RESTAURANT ,BEHIND NAWAB MASJID, BHINDI BAZAAR, MUMBAI 400003."
1334,"2&3 GRD, PLOT NO-5, 10/14, VEENA KILLEDAR INDUSTRIAL ESTATE, PAIS STREET, NR. BYCULLA RLWY STN.(w),Mumbai-400027"
1335,"Shop no 4, Corner of, Forjett St, Gowalia Tank, Tardeo, Mumbai, Maharashtra 400036"
1336,"ZAS Kitchen Moriswala Musafirkhana, Opp. Mandvi Petrol Pump, Near Bismillah Hotel, Mohammed Ali Road, Mumbai - 400003"
1337,"Shop No. 7, 36 Khara Tank Road, Kumbharwada, Mumbai, Maharashtra 400003"
1338,"Address: Shop No.4, Ground Flr, B-Wing, Bandukwala Compound, Umerkhadi, Mumbai-400009"
1339,"Floor Grd, Plot 74 Irani Chawl, Dr. Babasaheb Ambedkar Road, Jijamata Udyan, Byculla (E), Mumbai 400027, Greater Mumbai Ward-E, Greater Mumbai, Maharashtra-400027"
1340,"Central Avenue Building, C Wing, DB Marg, Mumbai Central East, Mumbai"
1341,"shop no 8, 142 saifee jublee street.Below Handiwali masjid"
1342,"52A Mulji Thakarshi Building Islampura Corner, Nanubhai Desai Road.. Mumbai-400004"
1343,"Chapra Hotel, M.S Ali Road, Near Nishat Cinema, Grant Road, Mumbai"
1344,"70/70A, Laxmi Building, Shaikh Memon Street, Zaveri Bazar, Girgaum, Mumbai"
1345,"Shop Number 7, Diamond Jubilee Girls High School Building, Opp Fire Brigade, Sardar Vallabhbhai Patel Rd, Dongri, Mumbai, Maharashtra 400009"
1346,"Next To Hotel Balwas International, Bellasis Road, Mumbai Central, Mumbai 8"
1347,"Nidhi House, Chirag Building, Mahatarpakhadi Road, Near Mazgaon Sales Tax Office, Mazgaon, Mumbai"
1348,"103 A/B,Dr.Mascarenhas Road,Anjirwadi,Mazgoan,Mumbai 400010 Mazgoan"
1349,"SHOP NO 3, GRD FLOOR, PLOT NO 55/57, MAYUR BHAVAN, D.N. SINGH ROAD, HATHI BAUG, MAZGAON, MUMBAI - 400010, Greater Mumbai, Maharashtra-400010"
1350,"La Vision Tower Shop no, 4, Mirza Galib Rd, Mumbai, Maharashtra "
1351,"SHOP, GROUND FLOOR, PLOT NO 263 / 267, GLORIA CHURCH, SANT SAVTA MARG, BYCULLA EAST, MUMBAI, Greater Mumbai Ward-E, Greater Mumbai, , Maharashtra, 400027"
1352,"179, Wazir Building, Abdul Hakim Chowk, Bhendi Bazar, Near Girgaum, Mumbai"
1353,"PLOT -98, SAYED MANZIL, SARDAR VALLABHBHAI PATEL ROAD , NULL BAZAR MANDVI, MUMBAI-400003"
1354,"Unique plaza, shop no. 2,B. J marg, Byculla West, Mumbai, Maharashtra 400011, India"
1355,"402 Arcadia Bldg Ground Flr Shop no 5 Sir  J J Road Byculla Mumbai 400008, J J  Hospital, Greater Mumbai Ward-E, Greater  Mumbai, Maharashtra - 400008"
1356,"402 Arcadia Bldg Ground Flr Shop no 5 Sir  J J Road Byculla Mumbai 400008, J J  Hospital, Greater Mumbai Ward-E, Greater  Mumbai, Maharashtra - 400008"
1357,"402 Arcadia Bldg Ground Flr Shop no 5 Sir  J J Road Byculla Mumbai 400008, J J  Hospital, Greater Mumbai Ward-E, Greater  Mumbai, Maharashtra - 400008"
1358,"321, Nasser Palace, Dockyard Road, Mazgaon, Mumbai"
1359,"G-24, AL-SA'ADAH COMPLEX, IBRAHIM REHAMATULLAH ROAD, BHENDI BAZAAR, MUMBAI, 400003,"
1360,"Shop 8, Oxford Chamber, Opposite St Agnes, Claire Road, Byculla, Mumbai"
1361,"15,FLR,GRD,PLOT 11,GAMADIA BLDG,DIMTIMKAR ROAD,OPP.J.J HOSPITAL,MUMBAI-400008"
1362,"5, Alexandra Terrace, Dr BA Road, Near Gloria Church, Rani Baug, Byculla East, Byculla, Mumbai"
1363,"316,mohammadi chambers, New Nagpada, Madanpura, Mumbai, Maharashtra 400008, India"
1364,"Shop 6, Ground Floor, 297 Issaq Manzil, Umerkhadi, Mohammad Ali Road, Mumbai 400009"
1365,"Al Baik - Al Brost, 249, Nimkar Marg, Alexander Compound, Ground Floor, Opp. Maharashtra College, Mumbai Central, Mumbai - 400008"
1366,"Shop 1A, 170/182, Agboat House, SVP Road, Dongri, Byculla, Mumbai"
1367,"Bele's Ashok Dugdhalaya, Byculla West, Byculla, Mumbai, Maharashtra, India"
1368,"M&M Momo, Hilal Building, Opp. Saifee Park, Next to St. Isabel High School, Mazagaon, Mumbai-400010"
1369,"McDonalds Family Restaurants,Shop No 1, 2 & 3 Ground Floor, Shop No 101 and 102 First Floor,Eiffel Tower, Opp. GST Office, Nesbit Road, Mazgaon,Mumbai 400010"
1370,"Shop no 3,Sunder Apt, Nesbit road,opp GST bhavan, Mumbai-400010"
1371,"4/5 masjid street bhendi bazar IR road , Null Bazar, Greater Mumbai Ward - C, Greater Mumbai, Maharashtra - 400003"
1372,"Shop No-81/87 G/F, New Kazi Street Null Bazar, Mandavi Mumbai - 400003, Null Bazar, Greater Mumbai Ward - C, Greater Mumbai, Maharashtra-400003"
1373,"Shop No.1, Ground Floor, Building No.2, Navjivan Hsg. Society, Mumbai Central, Mumbai 400011"
1374,"Shop 8, Oxford Chamber, Opposite St Agnes, Claire Road, Byculla, Mumbai"
1375,"Flat No. 1504, 15th Floor, Zain Tower, Temkar street,Nagpada,Mumbai"
1376,"SHOP NO. 8, ADULPI CHAMBERS, PLOT NO.44, SILVER TOWER, GR FLR, CLARE ROAD MIRZA GALIB MARG, NAGPADA GREATER M UMBAI WARD-E, MAHARASHTRA- 400008"
1377,"Cafe Glee, Shinde Building, Sane Guruji Marg, Arthur Road Naka, Chinchpokli, Mumbai 11"
1378,"Shop No 10-12, Ground Floor, Ishwardas Mansion, Gamdevi Road, Nana Chowk, Grant Road, Mumbai"
1379,"Shop No.6, 32/A, Bombay Ac Market, Tardeo, Mumbai"
1380,"Golecha House, SVP Road, Prarthana Samaj, Girgaum, Mumbai"
1381,"70/70A, Laxmi Building, Shaikh Memon Street, Zaveri Bazar, Girgaum, Mumbai"
1382,"Shinde Building, Sane Guruji Marg, Arthur Road Naka, Chinchpokli, Lalbaug, Lower Parel, Mumbai"
1383,"Shop No.3,Ratan House, Raja Ram Mohan Roy Marg ,Charni Rd,Greater Mumbai, Maharashtra-400004"
1384,"114, JSS Road, Near Central Plaza, Girgaum Church, Girgaum, Mumbai"
1385,"Dale's Eden, Shop 4, The Primordial House, AK Marg, Nana Chowk, Grant Road, Mumbai"
1386,"Hotel Krishna Palace, 96/98, Sleater Road, Nana Chowk, Grant Road, Mumbai"
1387,"15, Petit Compound, Nana Chowk, Tardeo, Mumbai"
1388,"261-263, Shamaldas Gandhi Marg, Kalbadevi, Mumbai"
1389,"IS HOSTEL GROUND FLOOR NANDLAL JANI ROAD DHANABUNDER MASJID EAST, DANABUNDER MASJID EAST MUMBAI, MAHARASHTRA - 400009"
1390,"237-241, Shop 3 ground floor, mitha mansion"
1391,"Shop no 36, Evergreen estate, Shakti Mill, Lower Parel, Mumbai 400013"
1392,"McDonalds Family Restaurants,Shop No 1, 2 & 3 Ground Floor, Shop No 101 and 102 First Floor,Eiffel Tower, Opp. GST Office, Nesbit Road, Mazgaon,Mumbai 400010"
1393,"SHOP NO 03, HANUMAN PRASAD BUILDING PLOT NO 821/823, BAPURAO JAGTAP MARG, JACOB CIRCLE, BYCULLA-400011"
1394,"A-S-14, Ground Floor, Plot No 108/1721,  Sauda Heights, Dr J R Meisheri Road,  Dongri, Chinchbunder, Dongari, Greater  Mumbai Ward - B, Greater Mumbai,  Maharashtra - 400009"
1395,"SHOP NO-3, GROUND FLOOR ,38/42, PAKMODI STREET, BHENDI BAZAR,MUMBAI-400003 , Greater Mumbai Ward C, Greater Mumbai(Maharashtra) - 400003"
1396,"Bombay Charcoal ,82/84 Clare House, Mirza Galib Rd, opp. Madraswala Building, next to Rock Suzuki, Marg, Ashadham Colony, Byculla, Mumbai, Maharashtra 400008, India"
1397,"Shop No-81/87 G/F, New Kazi Street Null Bazar, Mandavi Mumbai - 400003, Null Bazar, Greater Mumbai Ward - C, Greater Mumbai, Maharashtra-400003"
1398,"SHOP NO 6, GRD FLR,PLOT-108/112 UNITY PARK BLDG,RB CHANDORKAR MARG,SAAT RASTA,AGRIPADA,JACOB CIRCLE,NAIR HOSPITAL,GREATER MUMBAI WARD-E,MAHARASHTRA-400011"
1399,"Shop no.5a, Plot 69/78c ahle hadees masjid build maulana azad road, Agripada Mumbai.,"
1400,"Shop No. 3, Kulsumbai Building, Shivdas Chapsi Road, Mazgaon"
1401,"GRD FLOOR, 300 SAYED MANZIL, E.R ROAD, BHENDI BAZAAR,, Null Bazar, Mumbai - 400003"
1402,"SHOP NO 2, GROUND FLOOR, 86/90 DILKUSH MAHAL, SHAIDA MARG, District - Greater Mumbai, STATE - Maharashtra- 400009"
1403,"SHOP NO-5, FLOOR GROUND, PLOT-18/22, ABBAS BUILDING, D.N. SINGH ROAD, HATHI BAUG MAZGAON, MUMBAI-400010"
1404,"Shalimar Cool Point, Lahri Place, Bhendi Bazar, Girgaum, Mumbai"
1405,"Ground floor Shop no 3 dholkawala chawl shivdas champsi marg mazagon, Greater Mumbai Ward-E, Greater Mumbai,Maharashtra-400010"
1406,"GRD FLOOR, 300 SAYED MANZIL, E.R ROAD, BHENDI BAZAAR,, Null Bazar,Mumbai - 400003"
1407,"4/D,  Helal Building, Dr Mascarenhas Rd, Beside Post Office, opp. Saifee Park, Anjeer Wadi,  Mazgaon, Mumbai, Maharashtra 400010, India"
1408,"khara tank road, Near tawakkal sweet, Opp. jilani fast food, Bori mohalla"
1409,"P.B Marg, Moti Takies, Girgaum, Mumbai"
1410,"R No 49/50, 4th Floor, Building No. 14-46,  Lambat Mansion, Bara Imam Road,  Dongari, Greater Mumbai Ward - B,  Greater Mumbai, Maharashtra - 400003"
1411,"Plot 231, Bombay City Weavers CHS, Maulana Azad Road, Madanpura , greater mumbai , ward -E-Mumbai Central, Maharashtra   400008"
1412,"SHOP NO 8,ALEXANDRA TERRACE,DR.B.A.ROAD,BYCULLA,MUMBAI-400027, Greater Mumbai Ward-E, Greater Mumbai, Maharashtra-400027"
1413,"PLOT 215, ALEXANDRA TERRACE DR. NANASAHEB AMBEDKAR ROAD BYCULLA EAST MUMBAI -400027"
1414,"GRD FLOOR , PLOT NO 63 , JOHN MISSION HOUSE , SHIVDAS CHAMPSI MARG , MAZGAON , MUMBAI - 400010 , GREATER MUMBAI WARD-E , GREATER MUMBAI (MAHARASHTRA)-400010"
1415,"Sterling Tower, 1902 , 19th floor, nesbit road , opp bank of maharashtra, mazgoan, mumbai - 400010"
1416,"231 A, society Building maulana azad road  madanpura , Ghodapdev, Greater Mumbai  Ward-E, Greater Mumbai,  Maharashtra-400008"
1417,"Mumbaidevi Commercial Centre, 51/53, Zaveri Bazaar, Kalbadevi, Mumbai"
1418,"53, Nawab masjid cross lane, Opp. Umer Hall, Mumbai, Maharashtra 400003, India"
1419,"61/63, Sheikh Memon Street, Near Mumbadevi Temple, Zaveri Bazar, Girgaum, Mumbai"
1420,"Shop no 12,13,14 Navjivan Commercial Premises co-op Society ltd Lamington Road Mumbai 400008"
1421,"Next To Hotel Balwas International, Bellasis Road, Mumbai Central, Mumbai 8"
1422,"M/S HUNGER INC HOSPITALITY PVT LTD 1B,2,3,4,5,FLR-0,JAK PACKAGING COMP,DADOJI KONDDEO X RDGHODAPDEO,BYCULLA (E),M-400027, Greater Mumbai (Maharashtra) - 400027"
1423,"SHOP NO 11, PLOT NO 2, GROUND FLOOR, RATNAKAR MANSION, R.S NIMKAR MARG, BYCULLA, MUMBAI, Greater Mumbai Ward-E, Greater Mumbai, , Maharashtra, 400008"
1424,"Moriswala Musafirkhana, 1st floor, Room No. 9 & 10, Opp Bismillah Hotel, Mohammed Ali Road"
1425,"1,FLOOR- 1ST,PLOT-260/270, MAULANA SHAUKAT ALI ROAD,NISHAT CINEMA, MUMBAI CENTRAL, MUMBAI-400008, Bhatia Hospital, Greater Mumbai Ward-D, Greater Mumbai, Maharashtra, 400008"
1426,"SHOP NO.12A, GR. FLOOR,PLOT 44/60, HAJI BLDG, SARDAR VALLABHBHAI PATEL ROAD, NULL BAZAR ,Null Bazar,Greater Mumbai Ward - C,Greater Mumbai,Maharashtra-400003"
1427,"Next To Hotel Balwas International, Bellasis Road, Mumbai Central, Mumbai 8"
1428,"KRISHNA BHAVAN HOTEL  SHOP NO 6 , 74/79 M.R.Road 4th Lane  Kamathipura  Mumbai 8"
1429,"Floor Ground Plot 81/87, New Kazi Street. Ghogaria Mohalla Null Bazar. Mandvi Mumbai 400003"
1430,"Ground Floor, Plot 114, Tayeb Manzil, Dr. Babasaheb Ambedkar Road, Ram Nagar, Byculla East"
1431,"6, Pitale Mansion, Khadilkar Road, Charni Road, Mumbai"
1432,"11 FLOOR-2ND 11, B M C CHAWL, BAPURAO JAGTAP MARG JACOB CIRCLE ,Byculla Railway Staion,Greater Mumbai Ward-E,Greater Mumbai,Maharashtra-400011"
1433,"Next To Hotel Balwas International, Bellasis Road, Mumbai Central, Mumbai 8"
1434,"1-B, Plot -26/42, Lahri Manzil, Sayed Abdul Hasim Lane, Daramsi Street, Null Bazar, Mandvi, Charni Road, Mumbai"
1435,"SHOP NO.8,GRD FLR,228 B,ROSARIO VILLA,DR. MASCARENHAS ROAD,ANJIRWADI,MAZGAON, Anjirwadi, Greater Mumbai Ward-E, Greater Mumbai, Maharashtra, 400010"
1436,"SHOP NO-10,GROUND FLOOR, NEKJAT MARATHA, TB KADAM MARG, BYCULLA,MUMBAI-400027"
1437,"4-5-6,AGDAS MAHAL,FLR-GRD,PLOT-6 MOTLIBAI STREET,AGRIPADA,MUMBAI, District - Greater Mumbai, STATE - Maharashtra-400011"
1438,"69/75, ZAVERI BAZAR MUMBADEVI COMMERCIAL PREMISES, SHAIKH MEMON STREET"
1439,"Shop no 12,13,14 Navjivan Commercial Premises co-op Society ltd Lamington Road Mumbai 400008"
1440,"79-C, Mohammadi House, Mohammed Ali Road, Mumbai-400 003"
1441,"SHOP NO.12, GROUND FLOOR, BELASIS ROAD, NEXT TO SAHIL HOTEL, OPP. CITY CENTRE MALL, MUMBAI CENTRAL, Kamathipura, Greater Mumbai Ward-E, Greater Mumbai, Maharashtra 400008"
1442,"shop no 5a plot 69/78 c ahle hadees masjid build maulana azad road agripada mumbai 400011 , Byculla Railway Staion , Greater Mumbai Ward-E, Greater Mumbai,Maharashtra-400011"
1443,"7, Mohd Shahid Marg, Agripada, Mumbai, Maharashtra 400011, India"
1444,"Best Western Hotel Sahil, 292, Belasis Road, Opposite Orchid City Centre Mall, Mumbai Central, Mumbai"
1445,"Ground Floor, Plot 114, Tayeb Manzil, Dr. Babasaheb Ambedkar Road, Ram Nagar, Byculla East"
1446,"Room no.5, 1st floor 494 vitthal das house Maulana Azad road ladibazar opp HDFC Bank beside ceera gallery shop 400004"
1447,"JARIWALA BLDGE, SHOP NO. 75/77, S.V.P ROAD, MUMBAI"
1448,"Shop No-81/87 G/F, New Kazi Street Null Bazar, Mandavi Mumbai - 400003, Null Bazar, Greater Mumbai Ward - C, Greater Mumbai, Maharashtra - 400003"
1449,"shop number 13, ground floor, bundeally building, near lucky motor training school, mumbai cst area"
1450,"Shop No. 7 , Yusuf Saudagar Bldg, Near Al Haram Hotel, I.M Merchant road, Mumbai 400009"
1451,"Sai Samrat Pure Veg., Shivlal Motilal Mansion, Bellasis Road, Mumbai Central Junction, Mumbai Central, Mumbai"
1452,"Shop 3, Keshavlal Mansion, First Khattar Gali, Opposite Shreepati Jewels, Girgaum, Mumbai"
1453,"SHOP 2 TO 6, GRD FLOOR, 116, NOOR MANZIL,  T B KADAM MARG, BYCULLA EAST, MUMBAI  400027"
1454,"KRISHNA BHAVAN HOTEL  SHOP NO 6 , 74/79 M.R.Road 4th Lane  Kamathipura  Mumbai 8"
1455,"Shop no 1, 59 thakurdwar road, 2nd khattargali, Mumbai , Prabhadevi, Greater Mumbai Ward-G/S, Greater Mumbai, Maharashtra-400002"
1456,"Shop no 12,13,14 Navjivan Commercial Premises co-op Society ltd Lamington Road Mumbai 400008"
1457,"A/13 Ashraf Apts, Ganga Bawli Rd, Dockyard, Railway Colony, Mazgaon, Mumbai, Maharashtra 400010"
1458,"87/Masjid Street, Shop no. 4,opp to Municipality School, Next to DAWAT Inn,Near Null Bazaar Market, Mumbai-400003"
1459," MARIYAM TOWER, 1st floor, number 108, ZAM-ZAM RESTAURANT's lane, Behind NAWAAB MASJID, near MINI DELHI Restaurant, Ismail Curtey Road, pydhonie, bhindi bazaar, Mumbai- 400003"
1460,"Shop no 12,13,14 Navjivan Commercial Premises co-op Society ltd Lamington Road Mumbai 400008"
1461,"Ground Floor, Plot 114, Tayeb Manzil, Dr. Babasaheb Ambedkar Road, Ram Nagar, Byculla East"
1462,"7A , Ground Flr , Plot No.110 Laxmibai Chawl , Hafizka Road , Khand Bazar, Pydhonie. Mumbai"
1463,"Shop No 51, Ground Floor, Kazi Syed St, opposite Municipal School, Null Bazar, Girgaon, Mumbai, Maharashtra 400004"
1464,"534/536, Opposite Sunlight, Near Metro Theatre, Dhobitalao, Lohar Chawl, Kalbadevi, Mumbai"
1465,"""88,Jamal Mansion,Shop No 12/13,Dr.Maheshwari Road,Mumbai-400009"""
1466,"SHOP NO 5,6,7, AND 8, GROUND - FLOOR, NAVJIVAN CHS LTD, BUILDING NO 4, LAMINGTON ROAD, MUMBAI CENTRAL, MUMBAI - 400008 ,Greater Mumbai Ward-D,Greater Mumbai,Maharashtra-400008"
1467,"Shop no 4 , Ground Floor , Bldg no 2, Navjeevan Society, Mumbai Central, E, Maharashtra 400008"
1468,"135, V.P ROAD, SIKKA NAGAR, OPPOSITE APNA BAZAR Mumbai-400004"
1469,"3, Plot 315, Sindh Mercantile, Hinduja College Lane, Charni Road, Mumbai"
1470,"1, FLOOR GROUND, PLOT - 55, AMINABAI MANZIL, HUSSAIN PATEL MARG, EKTA NAGAR, WADI BUNDER, MAZGAON, MUMBAI."
1471,"25, Nathani Heights, Mumbai Central, Mumbai"
1472,"SHOP NO 1, FLOOR - GRD, PLOT - 74-86/86A,   FORTUNE GARDENS, SANT SAVTA MARG, MUSTAFA   BAZAR, MAZGAON, MUMBAI - 400010 ,Greater   Mumbai Ward-E,Greater Mumbai,Maharashtra-  400010"
1473,"Dongri, Umerkhadi, Mumbai, Maharashtra, India"
1474,"Floor Ground Plot 81/87, New Kazi Street. Ghogaria Mohalla Null Bazar. Mandvi Mumbai 400003"
1475,"New Shanti Bhuvan, 158, SVP Road, Opposite Round Temple, Girgaum, Mumbai"
1476,"Shop 1, Taiyabi Apartments, Tukaram Bhikaji Kadam Marg, Ghodapdeo, Byculla East, Mumbai, Maharashtra 400027, India"
1477,"Flat 31, 16th Floor, Sky Scraper Building, Nair Road, Mumbai Central, Mumbai"
1478,"PLOT-17,BANDUKWAL A BLDG,72 MOHAMMED ALI ROAD GRD FLOOR,NAGDEVI X LANE,CHAKALA, Null Bazar, Greater Mumbai Ward - C, Greater Mumbai, Maharashtra - 400003"
1479,"Mini Course, K Kadam Marg, Navjeevan Area, Dalal Estate, Mumbai Central, Mumbai, Maharashtra, India"
1480,"GROUND FLOOR,KHANDWALA BUILDING, VITTHALBHAI PATEL RD,C P TANK, GIRGAON, MUMBAI"
1481,"UPPER CRUST FOODS PVT. Ltd. LTD.(SBARRO)) Inside BPCL Petrol Pump, J.B.Patel & Co., New Queens Road, Mumbai - 400004"
1482,"250-A, FLOOR-GRD, PLOT-250, DARGA HAJI MUSA NAKSHBANDI,SUKHLAJI STREET ,MAULANA SHAUKAT ALI ROAD, ,NEAR ANJUMAN HIGH SCHOOL,GRANT ROAD MUMBAI-400008 , Greater Mumbai Ward-E, Greater Mumbai(Maharashtra"
1483,"506, Shree Shitladevi Sadan CHS, Narialwadi, R.B Marg, Mazgaon, Mumbai - 400010"
1484,"105 A Kesavji Naik Road, Shop No 6 ground floor Chinchbunder Next Katchi Navi Wadi Mumbai 400009"
1485,"Shop no 25. Nathani Heights Mumbai Central ,Nair Hospital,Greater Mumbai Ward-E,Greater Mumbai - 400008"
1486,"1, GRD Floor., Riddhi Apartment, Khetwadi 10th Lane, Girgaon, Mumbai 400004"
1487,"Bhairavnath Building, KK Marg, Jacob Circle, Mahalaxmi, Mumbai"
1488,"1/2, Plot 185, Ground Floor, Akhalwala Building, Mohammed Umar Kokil Marg, Nishanpada Road, Khada, Mumbai CST Area, Mumbai400009"
1489,"86 REHAM CASTLE , SHOP NO 9 , SVP ROAD APPOSITE ZAM ZAM SWEETS MUMBAI DONGRI, Dongari, Greater Mumbai Ward - B, Greater Mumbai, Maharashtra - 400009"
1490,"Moriswala Musafirkhana, 1st floor, Room No. 9-10, 40, Mohammed Ali Road, Opp Bismillah Hotel, Opp, Mandvi Telephone Exchange, Mumbai - 400003."
1491,"45, Bhuleshwar, Near Kalbadevi Cotton Exchange, Mumbai- 400002"
1492,"248, Karai Estate, Opposite Bhatia Hospital, Tardeo Road, Tardeo, Mumbai"
1493,"47/55, Kamnath Bhavan, Mumbadevi Road, Pydhonie, Mumbai"
1494,"GR FLOOR, 76/78A,MALA BUILDING KESHAVRAO KHADYE MARG, SAAT RASTA, JACOB CIRCLE,MUMBAI- 400011, GREATER MUMBAI, MAHARASHTRA, 400011"
1495,"Shop No.100, Aziz Manzil, Jamli Mohalla, Bapu Kothe St, Charni Road East, Jamli Mohalla, Panjarpole, Bhuleshwar, Mumbai, Maharashtra 400003, India"
1496,"A-11 Juno's pizza, Mahavir apt near bhatia hospital opp swati snacks tardeo 400007"
1497,"C/O. KAMALKANT PRINTING PRESS, 8/10, GROUND FLOOR, PLOT 67/74, PITALE MANSION, KHADILKAR ROAD, C. P. TANK, GIRGAON, MUMBAI-400004, Khetwadi, Greater Mumbai Ward-D, Greater Mumbai, Maharashtra, 400004"
1498,"Shop no 12,13,14 Navjivan Commercial Premises co-op Society ltd Lamington Road Mumbai 400008"
1499,"8 To 10, Noor Manzil, Dr B Ambedkar Road, Lalbaug, Parel, Mumbai"
1500,"Shop no 12,13,14 Navjivan Commercial Premises co-op Society ltd Lamington Road Mumbai 400008"
1501,"Shop no 12,13,14 Navjivan Commercial Premises co-op Society ltd Lamington Road Mumbai 400008"
1502,"Utsav Restaurant, Shinde Building ,Sane Guruji Marg , Arthur Road Naka, Chinchpokli, Mumbai 400011"
1503,"Shop No.3, Rainbow Heights 225/231, V.P Road, Girgaum, Mumbai"
1504,"Jugaadi adda, Vitthalbhai Patel Road, opp. sikka nagar, Kakadwadi, Khandiwadi, Ambewadi, Girgaon, Mumbai, Maharashtra, India"
1505,"Shop no 5, 29 Haji Cassum Bldg D'lima Street, Dockyard Rd, opp. Reay Chambers, Dockyard, Wadi Bandar, Mazgaon, Mumbai, Maharashtra 400010, India"
1506,"Saat Rasta, Agripada, Mumbai, Maharashtra 400011, India"
1507,"9/1,Shankar Marvadi Chawl No.08, 4th Cross Lane, Kethwadi Back Road, Khetwadi, Girgaon, Mumbai, Maharashtra 400004, India"
1508," Ground Floor, Jai Hari Co-Op-Hsg. So. Vasant Rao Naik Marg, August Kranti Marg, Opp. Bhatia Hospital. Grant Road West. Mumbai -400036"
1509,"SHOP NO. 12, 13, 14, GROUND FLOOR, WING-B, Shop No 12,13 & 14, Lamington Rd, Mumbai Central, Mumbai, Maharashtra 400008"
1510,"Ganga Sagar Juice Centre, 133, VP Road, Nathalal bhavan, behind sikka nagar bustop ,opp to Appna Bzzar,Girgaon- Mumbai 400004"
1511,"1/2, JANI BUILDING , SHRIKANT HADKAR MARG , ABHUDAYANAGAR MUMBAI - 400033"
1512,"1401, Yusuf Manzil, Dr. Anand Rao Nair Road, Agripada, Mumbai,Maharashtra400011"
1513,"Kalpana Veg Restaurant  S M Mansion Shop No 56 Dr D B Marg, Mumbai Central  Mumbai 400008"
1514,"7, B.C. Murad Mansion, S.V.P Road, Opposite Marwadi High School, Charni Road, Mumbai"
1515," Peerbhoy Terrace No. 106, Jagannath Shankar Sheth Road, Girgaon, Mumbai, Maharashtra 400004"
1516,"SHOP NO. -09, GROUND FLOOR,AUDUMBER CHS LTD. NAWAB TANK ROAD KOLIWADA , 2ND LANE,MAZGAON,MUMBAI - 400010"
